date,dateStata,dateISO,year,month,item,quintiles,mean_decile_price
4,01-05-1988,1988-05-01,1988,5,Beef Mince,5,3.846561
4,01-05-1988,1988-05-01,1988,5,Eggs,1,.72888887
4,01-05-1988,1988-05-01,1988,5,Eggs,4,1.0954839
4,01-05-1988,1988-05-01,1988,5,Beef Mince,3,2.7911515
4,01-05-1988,1988-05-01,1988,5,Car Oil,1,1.8567717
4,01-05-1988,1988-05-01,1988,5,Pasta,4,.45210525
4,01-05-1988,1988-05-01,1988,5,White Loaf of Bread,1,.53088236
4,01-05-1988,1988-05-01,1988,5,Car Oil,2,2.0591464
4,01-05-1988,1988-05-01,1988,5,Pasta,2,.38999999
4,01-05-1988,1988-05-01,1988,5,Car Oil,3,2.1693335
4,01-05-1988,1988-05-01,1988,5,Beef Mince,1,2.2342978
4,01-05-1988,1988-05-01,1988,5,Car Oil,4,2.2577631
4,01-05-1988,1988-05-01,1988,5,Pasta,3,.41214284
4,01-05-1988,1988-05-01,1988,5,White Loaf of Bread,4,.60413796
4,01-05-1988,1988-05-01,1988,5,Eggs,2,.94999999
4,01-05-1988,1988-05-01,1988,5,White Loaf of Bread,5,.63199997
4,01-05-1988,1988-05-01,1988,5,Eggs,3,1.0603226
4,01-05-1988,1988-05-01,1988,5,Pasta,5,.52625
4,01-05-1988,1988-05-01,1988,5,Beef Mince,4,3.3538368
4,01-05-1988,1988-05-01,1988,5,Pasta,1,.34482759
4,01-05-1988,1988-05-01,1988,5,Eggs,5,1.2353333
5,01-06-1988,1988-06-01,1988,6,Car Oil,2,2.059875
5,01-06-1988,1988-06-01,1988,6,Car Oil,5,2.4445205
5,01-06-1988,1988-06-01,1988,6,Beef Mince,4,3.3589966
5,01-06-1988,1988-06-01,1988,6,Car Oil,1,1.8576272
5,01-06-1988,1988-06-01,1988,6,Beef Mince,3,2.8130012
5,01-06-1988,1988-06-01,1988,6,Beef Mince,5,3.88797
5,01-06-1988,1988-06-01,1988,6,Car Oil,4,2.2674999
5,01-06-1988,1988-06-01,1988,6,Beef Mince,1,2.1897726
5,01-06-1988,1988-06-01,1988,6,Car Oil,3,2.1709483
5,01-06-1988,1988-06-01,1988,6,Eggs,1,.71666664
5,01-06-1988,1988-06-01,1988,6,Eggs,3,1.0036
5,01-06-1988,1988-06-01,1988,6,White Loaf of Bread,2,.58377355
5,01-06-1988,1988-06-01,1988,6,Pasta,2,.4090476
5,01-06-1988,1988-06-01,1988,6,Beef Mince,2,2.5122647
5,01-06-1988,1988-06-01,1988,6,Pasta,1,.37558138
5,01-06-1988,1988-06-01,1988,6,White Loaf of Bread,1,.53571427
5,01-06-1988,1988-06-01,1988,6,Pasta,5,.52739131
5,01-06-1988,1988-06-01,1988,6,Eggs,4,1.0703846
5,01-06-1988,1988-06-01,1988,6,Pasta,4,.45333332
5,01-06-1988,1988-06-01,1988,6,Pasta,3,.41999999
5,01-06-1988,1988-06-01,1988,6,White Loaf of Bread,4,.61000001
5,01-06-1988,1988-06-01,1988,6,Eggs,5,1.18625
5,01-06-1988,1988-06-01,1988,6,White Loaf of Bread,5,.63099998
5,01-06-1988,1988-06-01,1988,6,Eggs,2,.91343749
5,01-06-1988,1988-06-01,1988,6,White Loaf of Bread,3,.60000002
6,01-07-1988,1988-07-01,1988,7,Eggs,3,.99178571
6,01-07-1988,1988-07-01,1988,7,Car Oil,1,1.8724591
6,01-07-1988,1988-07-01,1988,7,White Loaf of Bread,1,.53657144
6,01-07-1988,1988-07-01,1988,7,Pasta,5,.53047621
6,01-07-1988,1988-07-01,1988,7,Car Oil,5,2.3995554
6,01-07-1988,1988-07-01,1988,7,Car Oil,3,2.1716807
6,01-07-1988,1988-07-01,1988,7,White Loaf of Bread,4,.61387098
6,01-07-1988,1988-07-01,1988,7,Car Oil,4,2.2561629
6,01-07-1988,1988-07-01,1988,7,Pasta,1,.36463416
6,01-07-1988,1988-07-01,1988,7,White Loaf of Bread,5,.64300001
6,01-07-1988,1988-07-01,1988,7,Beef Mince,1,2.2337022
