price,item_id,dateStata,dateISO,month,deciles
.38999999,210204,01-03-1988,1988-03-01,3,3
.47,210204,01-03-1988,1988-03-01,3,8
.38999999,210204,01-03-1988,1988-03-01,3,3
.47999999,210204,01-03-1988,1988-03-01,3,8
.44999999,210204,01-03-1988,1988-03-01,3,7
.34999999,210204,01-03-1988,1988-03-01,3,2
.36000001,210204,01-03-1988,1988-03-01,3,2
.41,210204,01-03-1988,1988-03-01,3,5
.41,210204,01-03-1988,1988-03-01,3,5
.74000001,210204,01-03-1988,1988-03-01,3,10
.41999999,210204,01-03-1988,1988-03-01,3,6
.38999999,210204,01-03-1988,1988-03-01,3,3
.41999999,210204,01-03-1988,1988-03-01,3,6
.52999997,210204,01-03-1988,1988-03-01,3,10
.43000001,210204,01-03-1988,1988-03-01,3,6
.47,210204,01-03-1988,1988-03-01,3,8
.49000001,210204,01-03-1988,1988-03-01,3,9
.38,210204,01-03-1988,1988-03-01,3,3
.41999999,210204,01-03-1988,1988-03-01,3,6
.41999999,210204,01-03-1988,1988-03-01,3,6
.34,210204,01-03-1988,1988-03-01,3,1
.56,210204,01-03-1988,1988-03-01,3,10
.36000001,210204,01-03-1988,1988-03-01,3,2
.33000001,210204,01-03-1988,1988-03-01,3,1
.62,210204,01-03-1988,1988-03-01,3,10
.49000001,210204,01-03-1988,1988-03-01,3,9
.38999999,210204,01-03-1988,1988-03-01,3,3
.44999999,210204,01-03-1988,1988-03-01,3,7
.38999999,210204,01-03-1988,1988-03-01,3,3
.41,210204,01-03-1988,1988-03-01,3,5
.47,210204,01-03-1988,1988-03-01,3,8
.31999999,210204,01-03-1988,1988-03-01,3,1
.33000001,210204,01-03-1988,1988-03-01,3,1
.46000001,210204,01-03-1988,1988-03-01,3,8
.31,210204,01-03-1988,1988-03-01,3,1
.36000001,210204,01-03-1988,1988-03-01,3,2
.38999999,210204,01-03-1988,1988-03-01,3,3
.51999998,210204,01-03-1988,1988-03-01,3,9
.33000001,210204,01-03-1988,1988-03-01,3,1
.33000001,210204,01-03-1988,1988-03-01,3,1
.46000001,210204,01-03-1988,1988-03-01,3,8
.56,210204,01-03-1988,1988-03-01,3,10
.44999999,210204,01-03-1988,1988-03-01,3,7
.38999999,210204,01-03-1988,1988-03-01,3,3
.44999999,210204,01-03-1988,1988-03-01,3,7
.38999999,210204,01-03-1988,1988-03-01,3,3
.47,210204,01-03-1988,1988-03-01,3,8
.44999999,210204,01-03-1988,1988-03-01,3,7
.44999999,210204,01-03-1988,1988-03-01,3,7
.49000001,210204,01-03-1988,1988-03-01,3,9
.38999999,210204,01-03-1988,1988-03-01,3,3
.44999999,210204,01-03-1988,1988-03-01,3,7
.47,210204,01-03-1988,1988-03-01,3,8
.36000001,210204,01-03-1988,1988-03-01,3,2
.40000001,210204,01-03-1988,1988-03-01,3,5
.47999999,210204,01-03-1988,1988-03-01,3,8
.47999999,210204,01-03-1988,1988-03-01,3,8
.47999999,210204,01-03-1988,1988-03-01,3,8
.44999999,210204,01-03-1988,1988-03-01,3,7
.33000001,210204,01-03-1988,1988-03-01,3,1
.33000001,210204,01-03-1988,1988-03-01,3,1
.41,210204,01-03-1988,1988-03-01,3,5
.41,210204,01-03-1988,1988-03-01,3,5
.38999999,210204,01-03-1988,1988-03-01,3,3
.47,210204,01-03-1988,1988-03-01,3,8
.5,210204,01-03-1988,1988-03-01,3,9
.41,210204,01-03-1988,1988-03-01,3,5
.34,210204,01-03-1988,1988-03-01,3,1
.38999999,210204,01-03-1988,1988-03-01,3,3
.41,210204,01-03-1988,1988-03-01,3,5
.33000001,210204,01-03-1988,1988-03-01,3,1
.41999999,210204,01-03-1988,1988-03-01,3,6
.34999999,210204,01-03-1988,1988-03-01,3,2
.43000001,210204,01-03-1988,1988-03-01,3,6
.44999999,210204,01-03-1988,1988-03-01,3,7
.58999997,210204,01-03-1988,1988-03-01,3,10
.38999999,210204,01-03-1988,1988-03-01,3,3
.38999999,210204,01-03-1988,1988-03-01,3,3
.37,210204,01-03-1988,1988-03-01,3,2
.49000001,210204,01-03-1988,1988-03-01,3,9
.44999999,210204,01-03-1988,1988-03-01,3,7
.44999999,210204,01-03-1988,1988-03-01,3,7
.49000001,210204,01-03-1988,1988-03-01,3,9
.38999999,210204,01-03-1988,1988-03-01,3,3
.33000001,210204,01-03-1988,1988-03-01,3,1
.49000001,210204,01-03-1988,1988-03-01,3,9
.51999998,210204,01-03-1988,1988-03-01,3,9
.38999999,210204,01-03-1988,1988-03-01,3,3
.44999999,210204,01-03-1988,1988-03-01,3,7
.33000001,210204,01-03-1988,1988-03-01,3,1
.41,210204,01-03-1988,1988-03-01,3,5
.36000001,210204,01-03-1988,1988-03-01,3,2
.44999999,210204,01-03-1988,1988-03-01,3,7
.49000001,210204,01-03-1988,1988-03-01,3,9
