item_id,date,dateStata,dateISO,year,month,quintiles,mean_decile_price
210204,21,01-10-1989,1989-10-01,1989,10,1,.40324998
210204,21,01-10-1989,1989-10-01,1989,10,4,.49666667
210204,21,01-10-1989,1989-10-01,1989,10,2,.44759998
210204,21,01-10-1989,1989-10-01,1989,10,5,.55214286
210204,22,01-11-1989,1989-11-01,1989,11,3,.48421052
210204,22,01-11-1989,1989-11-01,1989,11,4,.50999999
210204,22,01-11-1989,1989-11-01,1989,11,5,.55263156
210204,22,01-11-1989,1989-11-01,1989,11,2,.44714284
210204,22,01-11-1989,1989-11-01,1989,11,1,.40083334
210204,23,01-12-1989,1989-12-01,1989,12,3,.4831579
210204,23,01-12-1989,1989-12-01,1989,12,5,.55260873
210204,23,01-12-1989,1989-12-01,1989,12,4,.50999999
210204,23,01-12-1989,1989-12-01,1989,12,1,.40068966
210204,23,01-12-1989,1989-12-01,1989,12,2,.44736841
210204,24,01-01-1990,1990-01-01,1990,1,2,.46153846
210204,24,01-01-1990,1990-01-01,1990,1,3,.48956522
210204,24,01-01-1990,1990-01-01,1990,1,4,.52772731
210204,24,01-01-1990,1990-01-01,1990,1,5,.57133335
210204,24,01-01-1990,1990-01-01,1990,1,1,.40439999
210204,25,01-02-1990,1990-02-01,1990,2,4,.52640003
210204,25,01-02-1990,1990-02-01,1990,2,1,.40759999
210204,25,01-02-1990,1990-02-01,1990,2,3,.49000001
210204,25,01-02-1990,1990-02-01,1990,2,2,.4664
210204,25,01-02-1990,1990-02-01,1990,2,5,.57533336
210204,26,01-03-1990,1990-03-01,1990,3,1,.42576921
210204,26,01-03-1990,1990-03-01,1990,3,4,.5284
210204,26,01-03-1990,1990-03-01,1990,3,2,.48377359
210204,26,01-03-1990,1990-03-01,1990,3,5,.57235295
210204,27,01-04-1990,1990-04-01,1990,4,5,.57294118
210204,27,01-04-1990,1990-04-01,1990,4,2,.48351851
210204,27,01-04-1990,1990-04-01,1990,4,4,.52612901
210204,27,01-04-1990,1990-04-01,1990,4,1,.41461539
210204,28,01-05-1990,1990-05-01,1990,5,4,.52600002
210204,28,01-05-1990,1990-05-01,1990,5,2,.48933333
210204,28,01-05-1990,1990-05-01,1990,5,5,.56894737
210204,28,01-05-1990,1990-05-01,1990,5,1,.43035713
210204,28,01-05-1990,1990-05-01,1990,5,3,.5
210204,29,01-06-1990,1990-06-01,1990,6,1,.43607143
210204,29,01-06-1990,1990-06-01,1990,6,3,.50833333
210204,29,01-06-1990,1990-06-01,1990,6,2,.49000001
210204,29,01-06-1990,1990-06-01,1990,6,4,.53666669
210204,29,01-06-1990,1990-06-01,1990,6,5,.56999999
210204,30,01-07-1990,1990-07-01,1990,7,2,.48951221
210204,30,01-07-1990,1990-07-01,1990,7,4,.5389474
210204,30,01-07-1990,1990-07-01,1990,7,1,.44119999
210204,30,01-07-1990,1990-07-01,1990,7,3,.51714283
210204,30,01-07-1990,1990-07-01,1990,7,5,.57588238
210204,31,01-08-1990,1990-08-01,1990,8,3,.51681817
210204,31,01-08-1990,1990-08-01,1990,8,5,.5905
210204,31,01-08-1990,1990-08-01,1990,8,4,.54000002
210204,31,01-08-1990,1990-08-01,1990,8,1,.44083333
210204,31,01-08-1990,1990-08-01,1990,8,2,.49000001
210204,32,01-09-1990,1990-09-01,1990,9,2,.5188235
210204,32,01-09-1990,1990-09-01,1990,9,1,.46027777
210204,32,01-09-1990,1990-09-01,1990,9,4,.54615384
210204,32,01-09-1990,1990-09-01,1990,9,3,.52999997
210204,32,01-09-1990,1990-09-01,1990,9,5,.58391303
210204,33,01-10-1990,1990-10-01,1990,10,4,.55593753
210204,33,01-10-1990,1990-10-01,1990,10,2,.5188095
210204,33,01-10-1990,1990-10-01,1990,10,1,.45657143
210204,33,01-10-1990,1990-10-01,1990,10,5,.59529412
210204,33,01-10-1990,1990-10-01,1990,10,3,.52999997
210204,34,01-11-1990,1990-11-01,1990,11,2,.51833332
